国家或地区,货币代码,价格,第 1 年所得,第 2 年所得
阿尔巴尼亚,USD,40.49,28.68,28.68
阿尔及利亚,USD,130.99,111.34,111.34
阿富汗,USD,30.49,25.92,25.92
阿根廷,USD,50.0,42.5,42.5
阿拉伯联合酋长国,AED,500.0,404.76,404.76
阿曼,USD,100.0,80.95,80.95
阿塞拜疆,USD,50.9,36.67,36.67
埃及,EGP,3000.0,2236.84,2236.84
爱尔兰,EUR,120.99,83.61,83.61
爱沙尼亚,EUR,120.99,82.94,82.94
安哥拉,USD,50.0,42.5,42.5
安圭拉,USD,100.0,85.0,85.0
安提瓜和巴布达,USD,130.99,111.34,111.34
奥地利,EUR,120.99,85.7,85.7
澳大利亚,AUD,150.0,115.91,115.91
澳门,USD,130.99,111.34,111.34
巴巴多斯,USD,149.99,108.5,108.5
巴布亚新几内亚,USD,50.9,43.27,43.27
巴哈马,USD,100.99,78.04,78.04
巴基斯坦,PKR,30000.0,25500.0,25500.0
巴拉圭,USD,50.99,43.34,43.34
巴林,USD,99.99,77.27,77.27
巴拿马,USD,100.99,85.84,85.84
巴西,BRL,799.9,594.08,594.08
白俄罗斯,USD,50.99,36.12,36.12
百慕大,USD,150.99,128.34,128.34
保加利亚,BGN,299.99,212.49,212.49
北马其顿,USD,50.99,43.34,43.34
贝宁,USD,30.99,22.32,22.32
比利时,EUR,149.99,105.36,105.36
冰岛,USD,149.99,102.82,102.82
波兰,PLN,699.99,483.73,483.73
波斯尼亚和黑塞哥维那,EUR,149.99,108.97,108.97
玻利维亚,USD,70.9,60.27,60.27
伯利兹,USD,70.9,60.27,60.27
博茨瓦纳,USD,70.9,60.27,60.27
不丹,USD,50.99,43.34,43.34
布基纳法索,USD,40.95,34.81,34.81
丹麦,DKK,1120.0,761.6,761.6
德国,EUR,149.99,107.14,107.14
多米尼加共和国,USD,70.9,60.27,60.27
多米尼克,USD,70.9,60.27,60.27
俄罗斯,RUB,11990.0,8492.92,8492.92
厄瓜多尔,USD,50.0,42.5,42.5
法国,EUR,149.99,106.24,106.24
菲律宾,PHP,7990.0,6063.84,6063.84
斐济,USD,50.99,43.34,43.34
芬兰,EUR,50.99,34.54,34.54
佛得角,USD,50.99,43.34,43.34
冈比亚,USD,30.99,26.34,26.34
刚果共和国,USD,30.99,26.34,26.34
刚果民主共和国,USD,30.99,26.34,26.34
哥伦比亚,COP,33000.0,23571.43,23571.43
哥斯达黎加,USD,100.0,85.0,85.0
格林纳达,USD,130.99,111.34,111.34
格鲁吉亚,USD,55.0,39.62,39.62
圭亚那,USD,49.99,42.49,42.49
哈萨克斯坦,KZT,33000.0,25044.64,25044.64
韩国,KRW,179000,138318,138318
荷兰,EUR,149.99,105.36,105.36
黑山,EUR,119.99,101.99,101.99
洪都拉斯,USD,50.99,43.34,43.34
